"","quants",""
"306",0.305,-0.144845796605133
"307",0.306,-0.142543458423695
"308",0.307,-0.140628617197834
"309",0.308,-0.138758237177513
"310",0.309,-0.136788863862135
"311",0.31,-0.134836095073723
"312",0.311,-0.132922689130825
"313",0.312,-0.131150525049524
"314",0.313,-0.129403500027661
"315",0.314,-0.127496907437903
"316",0.315,-0.125454479725174
"317",0.316,-0.123439495814925
"318",0.317,-0.121621768186727
"319",0.318,-0.119663954150439
"320",0.319,-0.117941672499728
"321",0.32,-0.115864964329193
"322",0.321,-0.114069869317215
"323",0.322,-0.112224803397782
"324",0.323,-0.110220638811927
"325",0.324,-0.10822349741319
"326",0.325,-0.106388535948309
"327",0.326,-0.10444832432044
"328",0.327,-0.102699222635694
"329",0.328,-0.100875139253446
"330",0.329,-0.099034166374261
"331",0.33,-0.0970701280275722
"332",0.331,-0.0951892362109938
"333",0.332,-0.0935402179144414
"334",0.333,-0.0915656070589283
"335",0.334,-0.0897000355974562
"336",0.335,-0.0877154007173446
"337",0.336,-0.0858626558312106
"338",0.337,-0.0843079240414379
"339",0.338,-0.0826465138522676
"340",0.339,-0.0809231212044593
"341",0.34,-0.0792121061902785
"342",0.341,-0.077526226450447
"343",0.342,-0.0756489695131587
"344",0.343,-0.0739039005805638
"345",0.344,-0.0721213696584186
"346",0.345,-0.0702982836380822
"347",0.346,-0.0685583571914584
"348",0.347,-0.066894849020178
"349",0.348,-0.0651596402199657
"350",0.349,-0.0634426370310185
"351",0.35,-0.0616177510770807
"352",0.351,-0.0598862384335525
"353",0.352,-0.0580187777739111
"354",0.353,-0.0563679491750603
"355",0.354,-0.0547416146756057
"356",0.355,-0.0529602752942768
"357",0.356,-0.0512953829932015
"358",0.357,-0.049752792154364
"359",0.358,-0.0482270387306639
"360",0.359,-0.0467349903670639
"361",0.36,-0.0451228200863204
"362",0.361,-0.043357685536354
"363",0.362,-0.0416645664036009
"364",0.363,-0.0399609093719197
"365",0.364,-0.0382327329812609
"366",0.365,-0.0365689647714867
"367",0.366,-0.0348124267270079
"368",0.367,-0.033005522762011
"369",0.368,-0.0313234816105223
"370",0.369,-0.0295648745439326
"371",0.37,-0.0279773614300304
"372",0.371,-0.0263833252262141
"373",0.372,-0.0246737464484044
"374",0.373,-0.023093864503708
"375",0.374,-0.0213729654436464
"376",0.375,-0.0198190676777769
"377",0.376,-0.0182047624985962
"378",0.377,-0.0164059068031944
"379",0.378,-0.0147662218178755
"380",0.379,-0.0130993685047031
"381",0.38,-0.0114997582631177
"382",0.381,-0.00973258224820186
"383",0.382,-0.00804564439997121
"384",0.383,-0.00652339939242614
"385",0.384,-0.00511570998297754
"386",0.385,-0.00362076767521479
"387",0.386,-0.00195819486431678
"388",0.387,-0.000294421673350217
"389",0.388,0.00110928324677508
"390",0.389,0.0024851477854608
"391",0.39,0.00406755262607589
"392",0.391,0.00567128017930364
"393",0.392,0.00719505359398486
"394",0.393,0.00874563512858479
"395",0.394,0.0102338030115751
"396",0.395,0.0118280041311951
"397",0.396,0.0135455581401393
"398",0.397,0.014963543772561
"399",0.398,0.016741739881792
"400",0.399,0.0182774599914288
"401",0.4,0.0196980677826387
"402",0.401,0.0212098060790151
"403",0.402,0.0228156961917648
"404",0.403,0.024423534298607
"405",0.404,0.0258137157826606
"406",0.405,0.0273685135565413
"407",0.406,0.0290341773377871
"408",0.407,0.0303360200680246
"409",0.408,0.0318094529420407
"410",0.409,0.0331371173090507
"411",0.41,0.0346441535151691
"412",0.411,0.0361071135767926
"413",0.412,0.0375997387107784
"414",0.413,0.0389899773887056
"415",0.414,0.0404349806253249
"416",0.415,0.042052678038169
"417",0.416,0.0435369910027446
"418",0.417,0.0448668847657289
"419",0.418,0.0462006204930185
"420",0.419,0.0478418292892574
"421",0.42,0.0490827152652854
"422",0.421,0.0506239317872786
"423",0.422,0.0518962155512718
"424",0.423,0.05324896573271
"425",0.424,0.0548529250797183
"426",0.425,0.0561741942982569
"427",0.426,0.0575965511781275
"428",0.427,0.0590633289039381
"429",0.428,0.0604321955822164
"430",0.429,0.0617324573679556
"431",0.43,0.0631700102893316
"432",0.431,0.0644675446052791
"433",0.432,0.0659114343804006
"434",0.433,0.0674263146070395
"435",0.434,0.0689034587372898
"436",0.435,0.070320999220453
"437",0.436,0.071816349201075
"438",0.437,0.0731517144142918
"439",0.438,0.0746556454482548
"440",0.439,0.0758680403525919
"441",0.44,0.0774067037490438
"442",0.441,0.078718727049229
"443",0.442,0.080015179943334
"444",0.443,0.0814529767317353
"445",0.444,0.0826789563668426
"446",0.445,0.084093266377061
"447",0.446,0.0854307009884179
"448",0.447,0.0867534377264388
"449",0.448,0.0880161479982569
"450",0.449,0.0894197206140724
"451",0.45,0.090911835327189
